id;uid;creation_date;publish_date;name;description;applicability;tags;path;latest_version;read_only
1;customized payment;2019-10-04;2019-10-04;Cambridgeshire methodology;Adaptive Intelligent Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;true
2;parsing;2019-10-04;2019-10-04;feed;Assurance Nebraska Mississippi;synthesizing;silver;system;Buckinghamshire;false
3;Metal Auto Loan Account;2019-10-04;2019-10-04;Avon Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;true
4;hack;2019-10-04;2019-10-04;Investment Account cross-platform;Configuration;parse infrastructures Mobility;Implementation Shirt Unbranded Soft Fish;Refined Soft Keyboard synthesizing;indigo Bacon Mouse;true
5;payment;2019-10-04;2019-10-03;structure Maryland;indexing models e-enable;Money Market Account Saint Helena;Borders Grass-roots;disintermediate Mali Unbranded Concrete Soap;Cotton Tactics;true
6;cross-media Wooden optical;2019-10-04;2019-10-04;reboot South Carolina;Cheese orchestration Robust;Steel salmon application;USB scalable;Bosnia and Herzegovina generate Creek;syndicate haptic;false
7;Intuitive application;2019-10-04;2019-10-04;Credit Card Account Nevada;Persistent transparent Chips;front-end Intuitive vortals;Communications;Customer;Avon;true
8;Clothing;2019-10-03;2019-10-04;Awesome International solid state;alarm;quantify;Checking Account markets;Unbranded programming District;Concrete;true
9;hacking;2019-10-04;2019-10-04;strategy instruction set Persistent;seize Handmade Plastic Mouse;auxiliary Money Market Account Cotton;Switzerland Chief;Inlet Rue;Path Assimilated Unions;false
10;Towels;2019-10-04;2019-10-04;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist;Towels applications;Zimbabwe;Bedfordshire;true
